landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,pas,puh,pul,trp,urs,css,nal,nhi,nho,nhy,nlo,npa
A42113,37.81600869,0.165,0.75,0.6563,0.0483,2.5842,0.225,0.9493,0.12,0.4905,5.7359,5.7359,0.7783,0.3379,0.4149,0.4149,16.0521,12.6,5.7359,0.132,0.7594,2.0673,0.3924,0.6226,0.2704
A42115,48.98241924,0.165,0.75,0.6563,0.047,2.4177,0.225,1.0608,0.12,0.5045,5.6141,5.6141,0.8695,0.3019,0.3687,0.3687,14.3401,12.6,5.6141,0.132,0.8486,1.9342,0.4036,0.6956,0.2415
A42117,49.21101668,0.165,0.75,0.6563,0.0423,2.6503,0.225,0.9479,0.12,0.4697,4.0757,4.0757,0.7771,0.2993,0.2528,0.2528,14.2186,12.6,4.0757,0.132,0.7583,2.1202,0.3758,0.6217,0.2395
A42119,110.1783287,0.165,0.75,0.6563,0.0493,2.8696,0.225,0.8774,0.12,0.5576,5.8715,5.8715,0.7194,0.6004,0.4216,0.4216,28.5206,12.6,5.8715,0.132,0.7019,2.2957,0.4461,0.5756,0.4803
A42127,40.36031279,0.165,0.75,0.6563,0.0461,2.623,0.225,1.1747,0.12,0.4956,6.2252,6.2252,0.9627,0.3182,0.4487,0.4487,15.116,12.6,6.2252,0.132,0.9398,2.0984,0.3965,0.7702,0.2546
A42131,35.85457082,0.165,0.75,0.6563,0.0426,2.3848,0.225,0.8694,0.12,0.4772,4.3492,4.3492,0.7129,0.3038,0.225,0.2248,14.4284,12.6,4.3492,0.132,0.6955,1.9079,0.3817,0.5703,0.243
A42133,76.315007,0.165,0.75,0.6563,0.056,3.0469,0.225,0.8911,0.12,0.5228,6.0394,6.0394,0.7307,0.4017,0.2436,0.2435,19.0785,12.6,6.0394,0.132,0.7129,2.4376,0.4183,0.5845,0.3213
A51001,1492.802045,0.165,0.75,0.6563,0.0411,2.8231,0.225,0.6,0.12,0.803,4.9486,4.9486,0.4925,0.2983,0.3302,0.3301,14.1669,12.6,4.9486,0.132,0.48,2.2585,0.6424,0.394,0.2386
A51003,22.7647996,0.165,0.75,0.6563,0.0397,2.375,0.225,0.9205,0.12,0.6859,4.674,4.674,0.7547,0.236,0.2072,0.2072,11.2101,12.6,4.674,0.132,0.7364,1.9,0.5487,0.6037,0.1888
A51005,8.793355178,0.165,0.75,0.6563,0.0331,2.1952,0.225,0.89,0.12,0.497,3.2673,3.2673,0.7297,0.2056,0.1934,0.1934,9.7659,12.6,3.2673,0.132,0.712,1.7562,0.3976,0.5838,0.1645
A51007,242.2512946,0.165,0.75,0.6563,0.0404,2.2465,0.225,0.7601,0.12,0.955,4.5725,4.5725,0.6235,0.2969,0.1734,0.1732,14.1014,12.6,4.5725,0.132,0.6081,1.7972,0.764,0.4988,0.2375
A51009,6.405946841,0.165,0.75,0.6563,0.0351,2.3572,0.225,0.9099,0.12,0.7166,3.9248,3.9248,0.7461,0.231,0.1994,0.1994,10.9726,12.6,3.9248,0.132,0.728,1.8858,0.5733,0.5968,0.1848
A51011,17.9906382,0.165,0.75,0.6563,0.0389,2.3193,0.225,0.8418,0.12,0.706,4.4213,4.4213,0.6903,0.2467,0.2093,0.2091,11.7199,12.6,4.4213,0.132,0.6734,1.8555,0.5648,0.5522,0.1974
A51013,4.5,0.165,0.75,0.6563,0.0634,2.1134,0.225,0.7871,0.12,0.732,7.0628,7.0628,0.644,0.1997,0.3735,0.3733,9.4859,12.6,7.0628,0.132,0.6297,1.6907,0.5856,0.5152,0.1598
A51015,149.6349967,0.165,0.75,0.6563,0.0424,2.2381,0.225,0.9124,0.12,0.9111,4.3698,4.3698,0.7481,0.2674,0.1755,0.1754,12.7009,12.6,4.3698,0.132,0.7299,1.7905,0.7289,0.5985,0.2139
A51017,14.35709553,0.165,0.75,0.6563,0.0312,2.2703,0.225,0.843,0.12,0.7184,3.3405,3.3405,0.6913,0.2147,0.2018,0.2019,10.1959,12.6,3.3405,0.132,0.6744,1.8162,0.5747,0.553,0.1717
A51019,19.45342497,0.165,0.75,0.6563,0.0368,2.2479,0.225,1.2627,0.12,0.6842,4.1803,4.18,1.0347,0.2445,0.1973,0.1974,11.6151,12.6,4.1803,0.132,1.0102,1.7983,0.5473,0.8277,0.1956
A51023,24.2681031,0.165,0.75,0.6563,0.0332,2.3016,0.225,0.8969,0.12,0.6981,3.4498,3.4499,0.7354,0.2352,0.2134,0.2134,11.1736,12.6,3.4498,0.132,0.7175,1.8413,0.5585,0.5883,0.1882
A51029,93.2927663,0.165,0.75,0.6563,0.0374,2.3366,0.225,1.0059,0.12,0.8065,4.0744,4.0744,0.8246,0.2607,0.187,0.187,12.383,12.6,4.0744,0.132,0.8047,1.8693,0.6452,0.6597,0.2086
A51031,17.3387072,0.165,0.75,0.6563,0.0371,2.1744,0.225,0.8198,0.12,0.63,4.0853,4.0853,0.6723,0.2431,0.1891,0.1891,11.546,12.6,4.0853,0.132,0.6558,1.7395,0.504,0.5378,0.1945
A51033,20.7932957,0.165,0.75,0.6563,0.0448,2.3221,0.225,0.5884,0.12,0.6691,4.7805,4.7805,0.483,0.2376,0.1751,0.175,11.2842,12.6,4.7805,0.132,0.4707,1.8577,0.5353,0.3864,0.19
A51036,72.89801411,0.165,0.75,0.6563,0.0435,2.2416,0.225,0.676,0.12,0.6407,4.996,4.996,0.5547,0.2597,0.21,0.21,12.3355,12.6,4.996,0.132,0.5408,1.7933,0.5126,0.4437,0.2078
A51041,74.15187758,0.165,0.75,0.6563,0.0462,2.2513,0.225,0.6111,0.12,0.7618,4.9456,4.9456,0.5015,0.2634,0.1618,0.1617,12.511,12.6,4.9456,0.132,0.4888,1.8011,0.6094,0.4012,0.2107
A51043,52.32737097,0.165,0.75,0.6563,0.041,2.4332,0.225,0.7954,0.12,0.7113,4.0451,4.0441,0.6523,0.2434,0.1475,0.1474,11.5638,12.6,4.0451,0.132,0.6363,1.9466,0.569,0.5219,0.1948
A51045,9.5212669,0.165,0.75,0.6563,0.0348,2.2207,0.225,0.8008,0.12,0.7029,3.4212,3.4211,0.6568,0.223,0.2314,0.2312,10.5901,12.6,3.4212,0.132,0.6406,1.7766,0.5624,0.5254,0.1784
A51047,46.68500511,0.165,0.75,0.6563,0.04,2.2799,0.225,0.8722,0.12,0.6787,4.3526,4.3526,0.7151,0.2591,0.1856,0.1854,12.3079,12.6,4.3526,0.132,0.6977,1.8239,0.5429,0.5721,0.2073
