TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A51800,1,0,1,0,13.03312,0.500000,1.303312,13.03312,0.500000
A51810,1,0,1,0,12.99134,0.500000,1.299135,12.99134,0.500000
A51820,1,0,1,0,13.24738,0.500000,1.324738,13.24738,0.500000
A51830,1,0,1,0,12.97271,0.500000,1.297272,12.97271,0.500000
A51840,1,0,1,0,13.92311,0.500000,1.392311,13.92311,0.500000
A54003,1,0,1,0,13.69418,0.500000,1.369418,13.69418,0.500000
A54023,1,0,1,0,11.97183,0.500000,1.197183,11.97183,0.500000
A54027,1,0,1,0,13.77150,0.500000,1.377150,13.77150,0.500000
A54031,1,0,1,0,13.74340,0.500000,1.374341,13.74340,0.500000
A54037,1,0,1,0,13.67689,0.500000,1.367689,13.67689,0.500000
A54057,1,0,1,0,13.04914,0.500000,1.304915,13.04914,0.500000
A54063,1,0,1,0,13.32626,0.500000,1.332626,13.32626,0.500000
A54065,1,0,1,0,13.59579,0.500000,1.359579,13.59579,0.500000
A54071,1,0,1,0,14.14083,0.500000,1.414083,14.14083,0.500000
A54077,1,0,1,0,11.76929,0.500000,1.176929,11.76929,0.500000
A54093,1,0,1,0,11.70459,0.500000,1.170459,11.70459,0.500000
B24001,1,0,1,0,13.23040,0.500000,1.323040,13.23040,0.500000
B24021,1,0,1,0,13.23009,0.500000,1.323010,13.23009,0.500000
B37005,1,0,1,0,50.09194,0.500000,5.009194,50.09194,0.500000
B37009,1,0,1,0,31.60877,0.500000,3.160877,31.60877,0.500000
B42001,1,0,1,0,12.99541,0.500000,1.299541,12.99541,0.500000
B42009,1,0,1,0,13.34939,0.500000,1.334939,13.34939,0.500000
B42015,1,0,1,0,13.28873,0.500000,1.328873,13.28873,0.500000
B42027,1,0,1,0,12.63998,0.500000,1.263998,12.63998,0.500000
B42035,1,0,1,0,12.95807,0.500000,1.295808,12.95807,0.500000
B42041,1,0,1,0,13.28641,0.500000,1.328642,13.28641,0.500000
B42043,1,0,1,0,13.24130,0.500000,1.324130,13.24130,0.500000
B42055,1,0,1,0,13.25198,0.500000,1.325199,13.25198,0.500000
B42079,1,0,1,0,12.60580,0.500000,1.260581,12.60580,0.500000
B42081,1,0,1,0,13.07336,0.500000,1.307336,13.07336,0.500000
B42119,1,0,1,0,13.27540,0.500000,1.327540,13.27540,0.500000
B42131,1,0,1,0,12.80359,0.500000,1.280359,12.80359,0.500000
B51003,1,0,1,0,13.26963,0.500000,1.326964,13.26963,0.500000
B51009,1,0,1,0,13.14946,0.500000,1.314946,13.14946,0.500000
B51015,1,0,1,0,13.27021,0.500000,1.327022,13.27021,0.500000
B51017,1,0,1,0,13.35582,0.500000,1.335582,13.35582,0.500000
B51019,1,0,1,0,13.71264,0.500000,1.371264,13.71264,0.500000
B51023,1,0,1,0,13.40512,0.500000,1.340512,13.40512,0.500000
B51035,1,0,1,0,24.04125,0.500000,2.404125,24.04125,0.500000
B51061,1,0,1,0,13.22767,0.500000,1.322767,13.22767,0.500000
B51067,1,0,1,0,31.61798,0.500000,3.161798,31.61798,0.500000
B51071,1,0,1,0,14.08356,0.500000,1.408357,14.08356,0.500000
B51077,1,0,1,0,28.58357,0.500000,2.858357,28.58357,0.500000
B51079,1,0,1,0,13.12768,0.500000,1.312768,13.12768,0.500000
B51091,1,0,1,0,13.20177,0.500000,1.320177,13.20177,0.500000
B51105,1,0,1,0,10.84620,0.500000,1.084619,10.84620,0.500000
B51113,1,0,1,0,13.18145,0.500000,1.318145,13.18145,0.500000
B51125,1,0,1,0,12.98059,0.500000,1.298060,12.98059,0.500000
B51139,1,0,1,0,13.44861,0.500000,1.344862,13.44861,0.500000
B51141,1,0,1,0,19.96047,0.500000,1.996047,19.96047,0.500000
B51157,1,0,1,0,13.11209,0.500000,1.311210,13.11209,0.500000
B51161,1,0,1,0,10.15365,0.500000,1.015365,10.15365,0.500000
B51163,1,0,1,0,13.62539,0.500000,1.362539,13.62539,0.500000
B51165,1,0,1,0,14.33459,0.500000,1.433459,14.33459,0.500000
B51167,1,0,1,0,17.24084,0.500000,1.724084,17.24084,0.500000
B51169,1,0,1,0,13.67653,0.500000,1.367653,13.67653,0.500000
B51171,1,0,1,0,13.53402,0.500000,1.353402,13.53402,0.500000
